q1,q2,q3,q4,q5,q6,q7
-90.002045,-89.95998,-76.37202,-93.366325,47.332493,67.258934,41.64727
-90.00023,-89.979706,-75.727974,-88.47115,46.720654,37.421513,-31.406813
-89.99907,-89.98599,-77.41589,-87.12682,60.91025,34.386303,-53.2496
-89.996254,-89.9992,-89.29832,-91.50472,79.34513,29.05674,-32.238026
-89.993416,-90.013885,-90.24754,-95.42395,84.4414,10.215467,-3.6847637
-89.992836,-90.021805,-92.29818,-96.76011,83.078064,-3.7091088,9.572372
-89.993546,-90.021935,-89.466896,-95.62127,81.09674,-7.222555,8.391561
-89.994385,-90.020485,-87.48266,-91.49378,77.45857,-8.61267,10.099087
-89.99462,-90.02326,-91.88214,-95.1831,86.761505,-11.206629,-17.17355
-89.99388,-90.02584,-94.9087,-96.55245,93.79585,-14.55516,-23.338026
-89.993324,-90.02719,-95.04905,-96.16649,97.03371,-14.973177,-26.15118
-89.992805,-90.02938,-95.20651,-95.395325,98.22378,-16.215134,-26.264383
-89.99276,-90.03027,-97.60991,-94.8344,97.34205,-17.394007,-23.38533
-89.994705,-90.02178,-94.0852,-91.26214,91.46208,-13.883391,-15.8691635
-89.997086,-90.011894,-89.84945,-87.23329,85.15277,-10.208881,-6.222653
-89.99454,-90.02119,-93.22984,-89.40483,94.681015,-13.519885,-15.097862
-89.99155,-90.03481,-92.64017,-90.69765,100.6796,-18.773706,-27.399502
-89.99687,-90.00294,-94.501205,-97.20734,92.47593,-3.0297394,-11.668007
-89.99689,-90.00408,-95.42342,-97.35438,93.075584,-4.831668,-12.011778
-89.99208,-90.031136,-91.65355,-88.645,99.647415,-17.44956,-24.305656
-89.99704,-90.00908,-88.54788,-86.87387,99.38116,-9.929287,-0.16004172
-89.99953,-89.99897,-84.08167,-85.61146,89.7593,-7.0849876,8.818689
-89.99691,-90.00945,-89.88242,-88.24502,102.4358,-10.102824,-0.049065348
-89.99589,-90.005585,-99.163956,-95.28906,94.173775,-4.504393,-16.767668
-89.994354,-89.99851,-98.005806,-91.24695,91.65836,10.887492,-21.010324
-89.99432,-89.99903,-98.1376,-91.43308,91.86915,10.174685,-21.20795
-89.99677,-90.00738,-95.880516,-96.766426,91.7937,-7.9135966,-11.528197
-89.998436,-90.0032,-89.45899,-90.90635,101.930565,-8.23266,6.4394054
-89.99984,-89.99711,-85.71601,-87.73213,92.32127,-6.677142,10.837968
-89.99417,-90.02083,-90.53007,-85.89851,103.50606,-13.490014,-12.829628
-89.996056,-90.00231,-98.19859,-94.58808,94.30785,-0.24196796,-14.52388
